,VV_max,VH_max,precipitation_sum,precipitation_max,water_occurrence_mean,precipitation_mean,VH_min,VV_min,VV_mean,VH_mean,VV_std,slope_mean,VH_stdDev_mean,elevation_mean,VV_stdDev_mean,VH_std,flood
VV_max,,,,,,,,,,,,,,,,,
VH_max,,,,,,,,,,,,,,,,,
precipitation_sum,,,1.0,0.41926387365341217,-0.2565029880587521,0.44780762331470453,-0.12330185720062402,-0.06797907093408108,0.057799498875575776,-0.002823073960167324,-0.01326991893893801,0.16197270707165776,0.04727421725200659,0.15704860914215904,0.05765862691422135,0.05717742129634682,0.5637109563248716
precipitation_max,,,0.41926387365341217,1.0,0.02575715532906741,0.17820963192372766,0.07373748481598494,0.11339505730695451,0.24762678940373717,0.1933926324645534,-0.21412265787974782,-0.08192210000612984,-0.059039191606775565,0.2675072159953006,-0.050820386554914186,-0.15417922103228637,0.43270539893592064
water_occurrence_mean,,,-0.2565029880587521,0.02575715532906741,1.0,-0.16995491699599413,0.15019183138556064,0.1506643758438026,-0.017562832002881203,-0.021020330219190374,-0.06672805950103183,0.16802136182394467,-0.16869356574342978,0.017554067336926972,-0.1702949134149759,-0.06731231136534066,-0.19973058422054799
precipitation_mean,,,0.44780762331470453,0.17820963192372766,-0.16995491699599413,1.0,-0.09429363741925363,-0.11014525963207285,0.03910585521179093,0.03626857927750521,0.04190561914929056,0.27289481833012985,-0.10432402090398825,-0.2315430416548667,-0.09502048414619442,0.034855831159612945,0.17435263847721139
VH_min,,,-0.12330185720062402,0.07373748481598494,0.15019183138556064,-0.09429363741925363,1.0,0.9786004589284838,0.7319273941429585,0.7432093536062765,-0.9129388956375032,0.07944583826335606,-0.24447732223908666,-0.01548464192078318,-0.24090621702718884,-0.936704661311997,-0.13434974263033672
VV_min,,,-0.06797907093408108,0.11339505730695451,0.1506643758438026,-0.11014525963207285,0.9786004589284838,1.0,0.7642772730998046,0.751744595338208,-0.9403907937061702,0.05823532569976589,-0.2747756949346524,0.024189282181825544,-0.27330652732197325,-0.9306056696577686,-0.1156134333863066
VV_mean,,,0.057799498875575776,0.24762678940373717,-0.017562832002881203,0.03910585521179093,0.7319273941429585,0.7642772730998046,1.0,0.9841953553404841,-0.9189524413545996,0.020182204862842,-0.43025948058754104,0.053031734351743284,-0.42131379673293434,-0.9057689580177526,0.11363917420168029
VH_mean,,,-0.002823073960167324,0.1933926324645534,-0.021020330219190374,0.03626857927750521,0.7432093536062765,0.751744595338208,0.9841953553404841,1.0,-0.8944220816326217,0.04999936516112485,-0.44305116106980574,0.04471848027712691,-0.4338424488494625,-0.9176830490001766,0.06930799317178842
VV_std,,,-0.01326991893893801,-0.21412265787974782,-0.06672805950103183,0.04190561914929056,-0.9129388956375032,-0.9403907937061702,-0.9189524413545996,-0.8944220816326217,1.0,-0.01812683159986349,0.30769490816482836,-0.006501406727061838,0.3014329885031527,0.9776222888778078,-0.04009780339937559
slope_mean,,,0.16197270707165776,-0.08192210000612984,0.16802136182394467,0.27289481833012985,0.07944583826335606,0.05823532569976589,0.020182204862842,0.04999936516112485,-0.01812683159986349,1.0,-0.17354463894202,-0.3314004500013931,-0.1751411804007682,-0.05554353618058061,-0.030770141118326846
VH_stdDev_mean,,,0.04727421725200659,-0.059039191606775565,-0.16869356574342978,-0.10432402090398825,-0.24447732223908666,-0.2747756949346524,-0.43025948058754104,-0.44305116106980574,0.30769490816482836,-0.17354463894202,1.0,0.015034970599619354,0.9968467752662297,0.31698992366422496,-0.01897613901333819
elevation_mean,,,0.15704860914215904,0.2675072159953006,0.017554067336926972,-0.2315430416548667,-0.01548464192078318,0.024189282181825544,0.053031734351743284,0.04471848027712691,-0.006501406727061838,-0.3314004500013931,0.015034970599619354,1.0,0.019547942487745096,0.010285809503307097,-0.012434425447115253
VV_stdDev_mean,,,0.05765862691422135,-0.050820386554914186,-0.1702949134149759,-0.09502048414619442,-0.24090621702718884,-0.27330652732197325,-0.42131379673293434,-0.4338424488494625,0.3014329885031527,-0.1751411804007682,0.9968467752662297,0.019547942487745096,1.0,0.31024473586630014,-0.008438967956668783
VH_std,,,0.05717742129634682,-0.15417922103228637,-0.06731231136534066,0.034855831159612945,-0.936704661311997,-0.9306056696577686,-0.9057689580177526,-0.9176830490001766,0.9776222888778078,-0.05554353618058061,0.31698992366422496,0.010285809503307097,0.31024473586630014,1.0,0.006760213206393518
flood,,,0.5637109563248716,0.43270539893592064,-0.19973058422054799,0.17435263847721139,-0.13434974263033672,-0.1156134333863066,0.11363917420168029,0.06930799317178842,-0.04009780339937559,-0.030770141118326846,-0.01897613901333819,-0.012434425447115253,-0.008438967956668783,0.006760213206393518,1.0
