sample_id,region,date_start,date_end,flood_label,severity,longitude,latitude,VV_mean,VV_std,VV_min,VV_max,VH_mean,VH_std,VH_min,VH_max,VV_stdDev_mean,VH_stdDev_mean,precipitation_sum,precipitation_mean,precipitation_max,water_occurrence_mean,elevation_mean,slope_mean,region_Jonglei_Flood_Prone,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
0,Jonglei,2024-07-01,2024-09-30,1,high,33.4170433322764,7.309598692169794,-10.864876446176222,0.97768666050989,-12.264434462584527,-9.346297728086693,-15.533008018230793,0.6641813883427133,-16.507360678010492,-14.455874588131442,0.97768666050989,0.6641813883427133,467.9722786943118,5.142552587721083,55.87568664550781,0.0,417.3296506890329,2.283019222668808,1,0,0
1,Jonglei,2024-07-01,2024-09-30,1,high,32.89238587216805,7.793673359504521,-7.790114850376633,1.0036496066766014,-9.452388692057804,-6.384982670392048,-12.650758163837441,1.016128809221232,-14.418410736990232,-11.318542287173685,1.0036496066766014,1.016128809221232,605.3042143508792,6.6516947746276855,55.24870681762695,0.0,409.80318993466375,1.7099997890101875,1,0,0
2,Jonglei,2024-07-01,2024-09-30,1,high,32.05246559009886,6.728227079995101,-9.39172894434224,1.8521706281941668,-13.539869554621797,-7.003622043141538,-16.3862228954742,1.9564270572608418,-21.2364775111236,-14.073622336272313,1.8521706281941668,1.9564270572608418,466.83721830602735,5.13007926940918,38.94758605957031,0.0,424.6416240726217,1.6184255120140754,1,0,0
3,Jonglei,2024-07-01,2024-09-30,1,high,32.18597775164848,8.145844835475422,-9.432100304906992,1.9398611561873829,-14.137391892163219,-6.790619922297223,-15.393473231696792,2.1518500983784206,-21.29458335214217,-13.001900778459264,1.9398611561873829,2.1518500983784206,533.3419722020626,5.86090087890625,34.31253433227539,0.0,407.6497443454978,2.395296486040715,1,0,0
4,Jonglei,2024-07-01,2024-09-30,1,high,33.02429909889348,8.488104327068847,-7.786088304842868,5.062308546371372,-14.627979993303239,-2.050766737502936,-16.728358933034205,2.0796447464734644,-20.27228082342034,-14.38330755678059,5.062308546371372,2.0796447464734644,436.2253166983525,4.793684959411621,34.652563730875656,0.0,404.35918211608384,1.4106633235389672,1,0,0
5,Jonglei,2024-07-01,2024-09-30,1,high,33.375549123221056,6.333794923074612,-11.838373233839127,0.6813518713082355,-12.886611571754834,-10.83006361208177,-16.9376875576991,1.014312983053828,-18.780366714476518,-15.594538523988781,0.6813518713082355,1.014312983053828,503.61669063236985,5.5342493587070045,49.82195493910048,0.0,422.3443223443223,2.0835947419801872,1,0,0
6,Jonglei,2024-07-01,2024-09-30,1,high,32.937005587976934,8.436380270214105,-12.283339522258766,2.48137449590475,-16.85857765392814,-9.073607815136702,-16.841493743041433,2.496104094402243,-22.382026739333714,-14.40958400789287,2.48137449590475,2.496104094402243,477.6761190574616,5.24918794631958,41.118473052978516,0.0,406.3993131158949,1.6010617303988486,1,0,0
7,Jonglei,2024-07-01,2024-09-30,1,high,32.50775821273416,6.237386521126108,-11.584109942009169,1.221428322089621,-13.786221252751861,-10.044701301681071,-16.518165126804725,1.2178358974933199,-19.071786217238607,-15.16409793635012,1.221428322089621,1.2178358974933199,391.77242962270975,4.305191516876221,35.36531448364258,0.0,431.5160029957682,2.233416312283154,1,0,0
8,Jonglei,2024-07-01,2024-09-30,1,high,32.2882692269389,7.679609871341027,-9.54081973331759,2.276067720851033,-13.560287434716045,-5.64546835872566,-15.948680668690217,1.4661545111999508,-19.711326222284267,-14.015923049968839,2.276067720851033,1.4661545111999508,509.56214816619945,5.5995839436848955,41.93039321899414,0.0,413.7073896987713,1.9143766887007045,1,0,0
9,Jonglei,2024-07-01,2024-09-30,1,high,32.89309351410353,8.48521689855088,-11.896857947765064,2.4788884888148184,-16.124722034198108,-8.858463406509795,-17.280097761042057,2.5094816799819335,-22.602997355574676,-15.021245495922704,2.4788884888148184,2.5094816799819335,451.0637833708897,4.95674467086792,37.62838363647461,0.0,404.9419245081451,1.5792192714069828,1,0,0
10,Unity,2024-07-01,2024-09-30,1,high,30.65343211440704,8.079346892610108,-6.330389709447937,1.0483445950894141,-8.128297572544957,-4.9082366653740515,-14.509129606769605,0.8259380388645814,-15.84829092027408,-13.363352250549722,1.0483445950894141,0.8259380388645814,473.86761698126793,5.20733642578125,27.535057067871094,0.0,402.4281490136164,1.3128865224393262,0,1,0
11,Unity,2024-07-01,2024-09-30,1,high,31.0691582708933,8.221070850655916,-8.789144150065564,0.8836170685659168,-10.138751981057629,-7.446775034864792,-18.679661277585012,0.8659844216020122,-20.098570880366555,-17.4111938224639,0.8836170685659168,0.8659844216020153,473.7428919635713,5.205965876579285,23.354419708251957,0.0,408.0822122705281,1.6375297992734426,0,1,0
12,Unity,2024-07-01,2024-09-30,1,high,29.79937104456719,7.7614643739918066,-8.601739262226761,0.9067708757854995,-10.122675889858238,-7.201055734240267,-14.171854310199095,0.7966988500809118,-15.43202119744597,-12.800258845049946,0.9067708757854995,0.7966988500809118,495.72110156714916,5.447484493255615,24.937192916870117,0.0,401.34683479410535,2.0788875419192463,0,1,0
13,Unity,2024-07-01,2024-09-30,1,high,30.025853633100695,9.349009803162097,-8.089043921188875,0.7773504993600143,-9.235765017941288,-6.750395742737119,-13.502271986297506,0.7662243133009936,-14.665924710353169,-12.283309195264373,0.7773504993600143,0.7662243133009936,513.2804449051619,5.640444278717041,29.23472785949707,0.0,397.0782596234798,1.5848159228278071,0,1,0
14,Unity,2024-07-01,2024-09-30,1,high,30.314103070880453,8.492554622855993,-10.880058945957789,1.0659965594983212,-12.846715697882289,-9.109624970069465,-15.94525874391744,1.1113790986853775,-17.895295692428004,-14.06282488861898,1.0659965594983212,1.1113790986853775,470.67537356354296,5.172256946563721,24.010929107666016,16.146122448979593,398.6872469544763,1.4187348506246522,0,1,0
15,Unity,2024-07-01,2024-09-30,1,high,29.738419885273203,7.933195185447779,-8.652265707053175,1.4270806372579625,-10.905423385170284,-6.545010753849833,-15.135976916760153,1.006042513311912,-16.988206708923325,-13.741307500501842,1.4270806372579625,1.006042513311912,522.1676674559712,5.7381062507629395,21.96498680114746,0.0,397.28196218748053,2.022026326505757,0,1,0
16,Unity,2024-07-01,2024-09-30,1,high,30.35952410833982,9.43752116506364,-8.787606793087612,0.6529859686615229,-9.878799614528779,-7.799926240267499,-15.30914178996593,1.1013383253142328,-17.052475229204052,-13.73164828783394,0.6529859686615229,1.1013383253142328,530.1050771772861,5.82533073425293,30.739572525024414,0.0,400.0048802109687,1.9231503648960036,0,1,0
17,Unity,2024-07-01,2024-09-30,1,high,31.140999817260578,7.960821816217663,-11.557384175702387,0.7900015259603097,-12.897005286125191,-10.431994272590915,-15.197546952075081,0.8154649340572794,-16.61329802717064,-14.083324443414893,0.7900015259603097,0.8154649340572794,506.27757672965527,5.56348991394043,25.34783363342285,0.0,407.6864855875331,2.086428194127229,0,1,0
18,Upper_Nile,2024-07-01,2024-09-30,1,high,33.794519762116366,8.5529280782659,-11.03842539895368,2.52402311523612,-14.856244240886188,-8.105867669229598,-15.966122677374534,2.2333841411969653,-19.59940024962729,-13.538754635897766,2.52402311523612,2.2333841411969653,414.9656538963318,4.560061931610107,27.69744110107422,0.0,414.42222820599096,2.7938467463504892,0,0,1
19,Upper_Nile,2024-07-01,2024-09-30,1,high,33.88477609283386,9.58369610242451,-8.092987337672403,0.7162658798233691,-9.18264293674189,-7.003470379276079,-14.781150279074337,0.820862931195487,-16.123257778698022,-13.568892304789083,0.7162658798233691,0.820862931195487,378.12387904524803,4.155207633972168,23.967918395996094,0.0,598.6923772355394,4.518930442457983,0,0,1
20,Upper_Nile,2024-07-01,2024-09-30,1,high,33.105299768256835,9.507886143430476,-9.617339797031455,1.2492937682835572,-11.6734162110447,-7.842393563418238,-15.565009050956107,1.6451069693664897,-18.46756679271137,-13.39364563836114,1.2492937682835572,1.6451069693664897,340.1890692226589,3.738341410954793,28.921124776204422,0.0,399.64654142103245,1.8229181262250047,0,0,1
21,Upper_Nile,2024-07-01,2024-09-30,1,high,33.11310568741617,10.085121437714857,-8.037812918380084,1.1195466646180798,-9.717127640008496,-6.419757994365738,-14.028791041163231,1.0891238153049123,-15.572667949559287,-12.207409354828423,1.1195466646180798,1.0891238153049123,444.78046451695263,4.887697219848633,19.621164321899414,0.0,405.73603210281476,1.6200316414425413,0,0,1
22,Upper_Nile,2024-07-01,2024-09-30,1,high,33.71765650986025,9.902195543425188,-9.34292664851413,0.9782158319200672,-11.100243944865014,-8.006998165517485,-15.576129210343117,1.7680698672922768,-19.279647311188498,-13.625056947754436,0.9782158319200672,1.7680698672922768,361.1453528627753,3.968630313873291,21.67162322998047,0.0,455.4933516940441,2.1334174335702167,0,0,1
23,Upper_Nile,2024-07-01,2024-09-30,1,high,31.310705965380446,8.576951590314154,-8.864722887780689,2.004378924633367,-12.212160210989389,-6.182582813917002,-14.825194514864501,1.672029221207183,-17.96358906560288,-12.969030237812731,2.004378924633367,1.672029221207183,493.05162742733955,5.418149948120117,27.551313400268555,0.0,402.59890768257276,1.7075087094978987,0,0,1
24,Upper_Nile,2024-07-01,2024-09-30,1,high,32.942557096938394,8.985923554422921,-10.633882647029486,0.9345583431978244,-12.128158285183327,-9.259687454371333,-15.7597126627925,1.4120167250460178,-18.6443431381813,-14.08494223321752,0.9345583431978244,1.4120167250460178,421.2084424169734,4.628664016723633,29.42218589782715,0.0,400.21591377795323,1.5821540638334928,0,0,1
25,Jonglei,2024-05-15,2024-07-31,1,moderate,32.727028294030305,7.684360516661921,-10.920902784988208,1.5287003206365861,-13.36381631837684,-8.742750255820091,-16.175872882453252,1.580556550009789,-18.46309074850509,-13.742669896633535,1.5287003206365861,1.580556550009789,382.7005569972098,4.970137119293213,47.10057067871094,0.0,411.53156415157997,1.4810466701775555,1,0,0
26,Jonglei,2024-05-15,2024-07-31,1,moderate,32.923036378250174,6.617924830618545,-11.284576386089045,0.9894480160034803,-12.529560781339166,-9.428970284075723,-16.972812716083762,1.280167247387037,-18.88727559189281,-14.920863024655919,0.9894480160034803,1.280167247387037,377.64719249494374,4.9045090675354,34.74967575073242,0.0,424.6445264951712,2.5325242689427663,1,0,0
27,Jonglei,2024-05-15,2024-07-31,1,moderate,32.050193349650755,7.492472834543904,-10.973074191893566,1.541717876905572,-13.55646438464428,-8.001552209072395,-16.72080495408794,1.4463725722844323,-19.284411235995808,-14.069574678804049,1.541717876905572,1.4463725722844323,345.45872101699933,4.486476898193359,40.134605407714844,0.0,414.0066732664356,2.512822857420132,1,0,0
28,Jonglei,2024-05-15,2024-07-31,1,moderate,33.260717295724746,6.311957464566127,-10.491079874982129,0.8455520630172961,-11.750328961611487,-9.192125695311315,-16.258961235828025,1.1249918549606932,-18.070145068983297,-14.687671548066103,0.8455520630172961,1.1249918549606932,395.93583039194345,5.14202356338501,49.28923797607422,0.0,420.91605691240306,1.5678119404768949,1,0,0
29,Jonglei,2024-05-15,2024-07-31,1,moderate,33.3696985833434,7.62951840614866,-9.428118913827662,1.313276180134554,-11.233791579383205,-7.131439031362632,-14.526253177412274,1.1003822635147233,-16.273334339129836,-12.700338088437407,1.313276180134554,1.1003822635147233,424.2632696562343,5.509912755754259,53.22805531819662,0.0,414.77167483141903,1.9357536096397774,1,0,0
30,Jonglei,2024-05-15,2024-07-31,1,moderate,33.433231989151764,6.008894969434056,-10.333392890727275,1.7706202728348057,-13.166500137283519,-8.041513789979767,-17.317954062120187,2.606183962364209,-21.934762944838432,-14.402254078642203,1.7706202728348057,2.606183962364209,356.05202934052795,4.62405252456665,43.0206413269043,0.0,427.71091602536615,2.1898535595761595,1,0,0
31,Jonglei,2024-05-15,2024-07-31,1,moderate,32.23301159028355,8.490213686626328,-10.462844867022952,1.9405872729523572,-13.99630305849108,-7.556380876283584,-18.911299774946347,3.7080103241802025,-25.45093340430242,-13.930743968288835,1.9405872729523572,3.7080103241802025,391.91260462896514,5.089774290720622,27.87835693359375,0.0,402.5304397399986,2.109083975894506,1,0,0
32,Jonglei,2024-05-15,2024-07-31,1,moderate,33.07618238307007,8.238996987856876,-12.182835639806356,1.3361049412054402,-14.650876110874458,-10.480327889100682,-18.14645823453288,2.0280660562370563,-22.274517613863924,-15.763102723482344,1.3361049412054402,2.0280660562370563,362.02711771801114,4.701651096343994,46.17856216430664,0.0,408.30816115702464,1.4732937909593113,1,0,0
33,Jonglei,2024-05-15,2024-07-31,1,moderate,32.06988505901313,8.323359479482953,-9.80390258840509,1.090291310155274,-11.174389341077008,-8.246696850301996,-15.284697155521748,1.52535632465905,-17.306440756821306,-13.20790340863611,1.090291310155274,1.52535632465905,376.4026900526369,4.888346433639526,20.47318458557129,0.0,404.7022018043746,3.3276027867246407,1,0,0
34,Jonglei,2024-05-15,2024-07-31,1,moderate,33.403427952935665,8.250158800799932,-11.158101742501005,1.6583533749724009,-14.026862140157082,-9.027600774411841,-16.910333235360575,2.3695829760667966,-20.94414384344013,-13.829254007492105,1.6583533749724009,2.3695829760667966,380.52984066307545,4.941946029663086,37.51588439941406,0.0,406.8950035034763,1.2851242831181606,1,0,0
35,Unity,2024-05-15,2024-07-31,1,moderate,29.864601111735293,8.305193568611598,-8.67741485612404,0.7221315898338603,-9.818904995450708,-7.607212428512566,-14.208566437559217,0.9450091072357576,-15.768568359521616,-12.86158137477913,0.7221315898338603,0.9450091072357576,397.50002542184666,5.162337779998779,27.55030059814453,0.0,394.0271878494474,1.9468947170626827,0,1,0
36,Unity,2024-05-15,2024-07-31,1,moderate,29.697742169364506,8.741947896430295,-9.169347704958506,1.1671832166223761,-10.95689934465989,-7.329123865082197,-15.25703560871661,1.721648053256356,-18.116706161673363,-12.999037236007792,1.1671832166223761,1.7216480532563576,366.8548424075125,4.76434850692749,23.48483657836914,0.0,391.5591207805316,1.9785244065049221,0,1,0
37,Unity,2024-05-15,2024-07-31,1,moderate,29.702586391478064,8.314813456791434,-7.818541718034405,0.6979980365298013,-8.921744888577658,-6.805310069302857,-13.737332013109656,1.2801258881830275,-16.12796964192807,-11.90651818310472,0.6979980365298013,1.2801258881830275,367.6700324679259,4.774935722351074,26.626813888549805,0.0,393.44745458220143,2.018291086285208,0,1,0
38,Unity,2024-05-15,2024-07-31,1,moderate,30.369566791418645,9.40493392410677,-9.759387070993506,0.9476241112178834,-11.270771994523841,-8.313662633035795,-15.209207634383253,1.0031020049678887,-16.79883848394313,-13.739002762558364,0.9476241112178834,1.0031020049678887,374.56540621579836,4.864485740661621,28.48227310180664,0.0,401.44856611968004,2.1140032530097805,0,1,0
39,Unity,2024-05-15,2024-07-31,1,moderate,29.681976194648676,8.22628175522646,-9.430918090642246,1.1783652807036484,-11.41122911886944,-7.8475874344850345,-17.027434029820796,1.9101175438446203,-20.15220738021753,-14.432305809417231,1.1783652807036484,1.9101175438446203,377.1615815171972,4.898202419281006,26.87107276916504,0.0,393.83713889125977,2.042306811487234,0,1,0
40,Unity,2024-05-15,2024-07-31,1,moderate,29.964038034992907,8.169254042177663,-9.52925973098368,0.649210005427904,-10.547064964604337,-8.525318680363137,-14.400062990296691,1.0868118105470181,-16.063816849869298,-12.781842595370204,0.649210005427904,1.0868118105470181,434.026276730001,5.636704921722412,28.529306411743164,0.0,394.9252024045935,1.8670271123651687,0,1,0
41,Unity,2024-05-15,2024-07-31,1,moderate,30.67062631148206,8.177630786080043,-5.776245645487207,1.0728493233818652,-7.465958021910911,-4.442011390330848,-14.08548735919923,0.7005673961101515,-15.080310002173286,-13.14067147474056,1.0728493233818652,0.7005673961101515,346.95554979890585,4.505916118621826,23.836475372314453,0.0,402.3086115266602,1.4492442030151294,0,1,0
